NewLocationID,GMU,perc_forest,Elevation__10m2,TRI,elk_perday,lagomorphs_perday,moose_perday,whitetaileddeer_perday
GMU10A_P_10,GMU10A,1,1076,2.375,3.9,26.1,0,20.9
GMU10A_P_100,GMU10A,1,881,0.5,0,0,0,85
GMU10A_P_101,GMU10A,0.811,836,1.875,9.5,6.3,22.2,0
GMU10A_P_102,GMU10A,1,1283,3.25,20.8,0,0,2.6
GMU10A_P_103,GMU10A,0.784,1519,3.375,9.4,1.6,0,3.1
GMU10A_P_104,GMU10A,0.811,816,4.625,53.4,0,0,32.1
GMU10A_P_105,GMU10A,0.73,784,3.25,25.9,0,1.4,17.7
GMU10A_P_107,GMU10A,0.811,1278,2.875,19.5,5.2,0,57.1
GMU10A_P_108,GMU10A,1,1004,0.625,7.8,0,0,40.3
GMU10A_P_109,GMU10A,0.919,1063,3.625,18.4,0,1.4,51.1
GMU10A_P_11,GMU10A,0,1278,1,18.2,0,0,54.5
GMU10A_P_110,GMU10A,0.432,1038,0.75,9.1,0,0,81.8
GMU10A_P_111,GMU10A,1,1402,3.625,1.9,13.1,0,5.6
GMU10A_P_112,GMU10A,0.243,823,3,19.8,0,0,37.6
GMU10A_P_12,GMU10A,0.676,1021,0.5,10.4,6.5,0,35.1
GMU10A_P_13,GMU10A,0.703,618,4.25,1.5,0,0,10.5
GMU10A_P_14,GMU10A,0,919,1.25,3.9,0,0,118.2
GMU10A_P_15,GMU10A,1,1393,1.75,0,0,0,32.5
GMU10A_P_16,GMU10A,0.081,631,1.125,20.8,0,0,5.2
GMU10A_P_17,GMU10A,0.946,826,4.5,15.6,1.3,0,27.3
GMU10A_P_18,GMU10A,0.973,1110,2.25,26.6,3.1,6.2,15.6
GMU10A_P_20,GMU10A,1,1095,2.875,1.3,0,0,16.9
GMU10A_P_22,GMU10A,1,1098,4.5,5.2,0,1.3,2.6
GMU10A_P_23,GMU10A,1,1175,2.25,17.9,0,0,37.2
GMU10A_P_24,GMU10A,0.486,1007,1.625,57.1,0,0,19.5
GMU10A_P_25,GMU10A,1,947,2.5,9.1,0,0,20.8
GMU10A_P_26,GMU10A,0,701,3.75,0,0,0,20.7
GMU10A_P_27,GMU10A,0.919,1047,4,1.3,13,1.3,5.2
GMU10A_P_28,GMU10A,0.892,964,0,14.3,0,0,77.9
GMU10A_P_29,GMU10A,0.541,915,0.625,1.4,17.9,1.4,114.5
GMU10A_P_30,GMU10A,0.73,952,0.75,5.2,0,1.3,59.7
GMU10A_P_31,GMU10A,1,1011,0.75,1.3,0,1.3,14.3
GMU10A_P_32,GMU10A,0.892,971,2.75,31.2,11.7,1.3,19.5
GMU10A_P_34,GMU10A,1,1095,2.625,1.9,0,0,25.9
GMU10A_P_36,GMU10A,1,1000,0.75,13,1.3,0,54.5
GMU10A_P_37,GMU10A,0.757,1186,1.875,22,0,14,16
GMU10A_P_38,GMU10A,0.919,1142,4,69.3,4.7,0,22
GMU10A_P_39,GMU10A,0.784,1454,1.375,13,1.3,0,9.1
GMU10A_P_4,GMU10A,1,1045,2.625,1.3,6.5,0,19.5
GMU10A_P_40,GMU10A,0,846,2.375,64.9,0,0,9.1
GMU10A_P_41,GMU10A,1,1116,3.125,20.8,0,1.3,24.7
GMU10A_P_43,GMU10A,1,1273,4.125,0,0,0,52.9
GMU10A_P_44,GMU10A,0.351,972,0.75,2.6,0,0,113
GMU10A_P_45,GMU10A,0.811,871,0.875,5.6,23.8,0,9.8
GMU10A_P_46,GMU10A,0.432,970,0.5,5.2,0,0,106.5
GMU10A_P_47,GMU10A,1,1227,2.5,2.6,0,0,14.3
GMU10A_P_48,GMU10A,0.432,907,2,9.1,0,1.3,7.8
GMU10A_P_49,GMU10A,0.378,1680,2.75,2.8,0,2.8,22.7
GMU10A_P_5,GMU10A,1,1142,3,28.9,0,18.6,18.6
GMU10A_P_50,GMU10A,0.865,1263,3.375,6.1,3.1,4.6,4.6
GMU10A_P_51,GMU10A,0.919,1490,1.125,0,1.3,3.9,59.7
GMU10A_P_52,GMU10A,1,993,1.125,0,53.2,0,18.2
GMU10A_P_53,GMU10A,1,1174,1,14.6,0,0,4
GMU10A_P_54,GMU10A,1,1528,1.375,22.1,1.3,0,7.8
GMU10A_P_55,GMU10A,1,1130,1.875,2.6,0,0,6.5
GMU10A_P_56,GMU10A,0.676,976,0.25,15.8,0,0,97.4
GMU10A_P_57,GMU10A,0.946,619,3.125,57.1,0,0,29.9
GMU10A_P_59,GMU10A,0,1774,1.5,9.1,0,1.3,27.3
GMU10A_P_6,GMU10A,1,1127,3.25,0,3.9,2.6,0
GMU10A_P_60,GMU10A,0.27,644,3,24.7,0,0,44.2
GMU10A_P_61,GMU10A,0.243,899,3,0,0,0,0
