NewLocationID,GMU,perc_forest,Elevation__10m2,TRI,elk_perday,lagomorphs_perday,moose_perday,whitetaileddeer_perday
GMU10A_P_62,GMU10A,0.243,951,0,8,0,0,48
GMU10A_P_63,GMU10A,1,1205,0.25,1.3,0,2.6,19.5
GMU10A_P_64,GMU10A,0.892,990,0,24.8,0,0,107.2
GMU10A_P_65,GMU10A,0.324,1906,2.25,0,0,0,12.6
GMU10A_P_66,GMU10A,1,973,4.375,24.7,1.3,0,3.9
GMU10A_P_67,GMU10A,1,1265,2.875,3.9,5.2,2.6,10.4
GMU10A_P_68,GMU10A,0.892,986,0.5,13,0,0,62.3
GMU10A_P_69,GMU10A,0.892,1199,1,16.9,0,6.5,29.9
GMU10A_P_7,GMU10A,0.919,1096,1.625,13,0,2.6,41.6
GMU10A_P_71,GMU10A,1,1051,1.375,7.8,5.2,0,10.4
GMU10A_P_72,GMU10A,1,908,3,20.8,0,1.3,28.6
GMU10A_P_74,GMU10A,1,884,5,22.8,0,1.3,12.1
GMU10A_P_75,GMU10A,1,1460,3,0,0,1.3,48.1
GMU10A_P_76,GMU10A,0.324,833,2.875,68.8,0,0,39
GMU10A_P_77,GMU10A,1,730,2.25,11.7,0,0,33.8
GMU10A_P_79,GMU10A,1,986,0,5.2,0,1.3,29.9
GMU10A_P_8,GMU10A,1,990,2.125,10.4,0,0,19.5
GMU10A_P_80,GMU10A,0.865,1071,0.75,0,0,0,0
GMU10A_P_82,GMU10A,0.919,1474,2.25,45.8,0,5.2,13.1
GMU10A_P_83,GMU10A,0.973,999,0.625,2.6,0,0,68.8
GMU10A_P_84,GMU10A,1,954,1.5,0,0,0,0
GMU10A_P_85,GMU10A,1,1349,1.75,21.2,4,5.3,11.9
GMU10A_P_86,GMU10A,1,1244,1.875,40,5.5,0,86.9
GMU10A_P_87,GMU10A,0.622,933,2.625,1.3,2.6,2.6,6.5
GMU10A_P_88,GMU10A,0.892,891,3,5.2,0,0,15.6
GMU10A_P_89,GMU10A,0.973,1062,2.375,18.2,0,2.6,68.8
GMU10A_P_9,GMU10A,0.73,980,3,60.9,1.3,6.6,68.9
GMU10A_P_91,GMU10A,0.27,1191,2.875,10.4,0,7.8,16.9
GMU10A_P_92,GMU10A,0,969,0.375,7.8,0,0,87
GMU10A_P_93,GMU10A,1,1126,3.375,53.2,0,2.6,5.2
GMU10A_P_94,GMU10A,0.676,920,0,13,0,7.8,124.7
GMU10A_P_95,GMU10A,1,1075,0.875,1.3,0,0,23.4
GMU10A_P_96,GMU10A,1,1124,0.875,5.2,0,0,18.2
GMU10A_P_97,GMU10A,0.973,1225,3.25,2.6,0,5.2,2.6
GMU10A_P_98,GMU10A,1,1396,4.875,10.6,0,4,7.9
GMU10A_P_99,GMU10A,1,1409,2.75,9.1,0,3.9,45.5
GMU10A_U_10,GMU10A,1,1075,1.25,0,0,0,0
GMU10A_U_100,GMU10A,1,891,0.875,0,0,0,24.7
GMU10A_U_101,GMU10A,1,859,1,9.5,0,0,0
GMU10A_U_102,GMU10A,0.919,1173,5.125,0,0,0,0
GMU10A_U_103,GMU10A,0.946,957,4,0,0,0,0
GMU10A_U_104,GMU10A,1,648,5.875,1.5,1.5,0,13.7
GMU10A_U_105,GMU10A,0.811,755,2.375,6.5,0,1.3,11.7
GMU10A_U_107,GMU10A,0.784,1270,2.75,0,1.3,0,2.6
GMU10A_U_108,GMU10A,1,1005,0.625,13,0,0,49.4
GMU10A_U_109,GMU10A,1,1110,2.875,5.2,0,0,7.8
GMU10A_U_11,GMU10A,0,1283,0.625,3.9,0,0,14.3
GMU10A_U_110,GMU10A,0.054,1047,0.875,3.4,0,0,35.3
GMU10A_U_111,GMU10A,1,1355,3.375,0,0,0,18.2
GMU10A_U_112,GMU10A,0.351,826,2.875,13.2,0,0,13.2
GMU10A_U_113,GMU10A,0.108,832,1.75,2.7,1.4,0,2.7
GMU10A_U_116,GMU10A,0.216,1467,1,6.9,0,0,5.5
GMU10A_U_117,GMU10A,1,1088,3.875,1.8,0,0,8.8
GMU10A_U_118,GMU10A,0.784,1150,2.875,0,0,0,3.9
GMU10A_U_119,GMU10A,1,1227,3.5,2.4,7.1,0,9.4
GMU10A_U_12,GMU10A,0.351,1025,1.125,0,0,0,44.2
GMU10A_U_120,GMU10A,0.946,987,1.5,18.2,0,1.4,51.7
GMU10A_U_121,GMU10A,0.297,662,2.125,16.9,0,0,18.2
GMU10A_U_122,GMU10A,0.784,960,4.25,0,1.3,0,1.3
GMU10A_U_123,GMU10A,0.27,1181,0.875,0,0,0,57.1
GMU10A_U_125,GMU10A,0.027,1081,2.25,1.9,0,1.9,41.9
GMU10A_U_127,GMU10A,1,1015,1.375,1.6,32.6,0,23.3
GMU10A_U_128,GMU10A,0,968,1.5,0,0,3,44.8
GMU10A_U_129,GMU10A,0.676,549,4.375,0,0,0,0
GMU10A_U_13,GMU10A,0.892,630,4.375,1.3,0,0,0
GMU10A_U_130,GMU10A,0.054,1016,6.375,43.8,1.9,0,7.6
GMU10A_U_131,GMU10A,0.027,978,2.125,0,0,0,0
GMU10A_U_132,GMU10A,1,1122,2.25,0,0,0,6.5
GMU10A_U_133,GMU10A,1,1433,2.875,11.9,0,8.9,14.8
GMU10A_U_134,GMU10A,1,552,2.75,0,0,0,5.5
GMU10A_U_135,GMU10A,1,1479,3,0,0,0,37.3
GMU10A_U_136,GMU10A,0.459,884,2.375,142.9,0,0,0
GMU10A_U_137,GMU10A,0.946,1218,3.5,11.8,0,0,23.5
GMU10A_U_138,GMU10A,0.162,621,5.75,2.2,0,0,4.3
GMU10A_U_139,GMU10A,1,1324,1.25,1.4,0,1.4,43.5
GMU10A_U_14,GMU10A,0.378,915,1.25,0,0,0,189.6
GMU10A_U_140,GMU10A,0,973,0.375,11.2,0,0,52.8
GMU10A_U_141,GMU10A,1,625,3.375,7.3,0,1.8,1.8
GMU10A_U_142,GMU10A,0.757,986,1.125,12.1,0,0,181.8
GMU10A_U_143,GMU10A,1,996,1.875,1.3,11.7,0,102.6
GMU10A_U_144,GMU10A,0.486,746,1.25,11.1,0,0,5.6
GMU10A_U_146,GMU10A,0.324,1221,5.125,1.3,0,1.3,15.9
GMU10A_U_147,GMU10A,1,1467,3,0,0,0,3.1
GMU10A_U_148,GMU10A,0.784,961,0.625,11.3,0,0,69.4
GMU10A_U_149,GMU10A,0.919,986,3.5,0,0,0,0
GMU10A_U_15,GMU10A,1,1390,2,0,0,0,10.4
GMU10A_U_150,GMU10A,0.189,958,0.25,0,0,0,100
GMU10A_U_151,GMU10A,1,1125,1.875,0,0,0,8.5
GMU10A_U_153,GMU10A,1,1196,0.875,4.2,0,0,48.4
GMU10A_U_154,GMU10A,0.27,1342,3.625,4,20,1.3,0
GMU10A_U_155,GMU10A,1,1270,3,1.4,19,0,19
GMU10A_U_157,GMU10A,0.946,1259,1.125,17.1,2.9,0,40
GMU10A_U_158,GMU10A,1,1013,0.375,0,0,0,25
GMU10A_U_159,GMU10A,1,1075,0.125,3.7,0,0,46.7
GMU10A_U_16,GMU10A,0,652,1,18.2,0,0,44.2
GMU10A_U_160,GMU10A,0.973,1063,5,0,0,0,0
GMU10A_U_162,GMU10A,1,1594,2.25,0,0,0,18.9
GMU10A_U_164,GMU10A,1,1203,2.25,1.7,0,0,14.9
GMU10A_U_165,GMU10A,0,862,3.875,4.2,0,0,27.4
GMU10A_U_166,GMU10A,0.892,1162,1.375,3.2,0,1.6,14.4
GMU10A_U_167,GMU10A,1,1052,3.625,0,3.7,0,0
GMU10A_U_169,GMU10A,0.784,624,2.25,0,0,0,17.2
GMU10A_U_17,GMU10A,1,737,4.375,0,0,0,0
GMU10A_U_170,GMU10A,0.973,1296,3.5,0,0,0,20.6
GMU10A_U_171,GMU10A,0.649,858,4.125,4.3,0,0,0
GMU10A_U_172,GMU10A,1,1271,2.5,0,0,0,40
GMU10A_U_18,GMU10A,1,1167,4.25,5.7,1.9,0,11.4
GMU10A_U_20,GMU10A,1,1118,1.125,0,0,0,18.2
GMU10A_U_21,GMU10A,0.676,1407,5,8.2,2.1,0,0
GMU10A_U_22,GMU10A,1,1132,5.375,0,0,0,0
GMU10A_U_23,GMU10A,1,1226,0.375,23.1,0,1.4,20.4
GMU10A_U_24,GMU10A,1,1020,1.375,0,0,0,0
GMU10A_U_25,GMU10A,1,959,1.5,7.8,0,0,15.6
GMU10A_U_26,GMU10A,0.189,673,4.5,1.4,0,0,4.3
GMU10A_U_27,GMU10A,1,1070,2.75,0,2.6,0,10.4
GMU10A_U_28,GMU10A,0.73,964,0,0,0,0,0
GMU10A_U_29,GMU10A,0.541,920,0.75,0,0,0,0
GMU10A_U_30,GMU10A,0.757,946,0,1.3,0,1.3,51.9
GMU10A_U_31,GMU10A,1,1003,0.875,3.4,0,0,103.4
GMU10A_U_32,GMU10A,1,1000,3,0,0,0,0
GMU10A_U_34,GMU10A,1,1171,2.75,0,16.7,0,1.9
GMU10A_U_36,GMU10A,1,1009,0.625,0,0,0,0
GMU10A_U_37,GMU10A,1,1218,1.625,20,0,4,32
GMU10A_U_38,GMU10A,0.973,1101,2.75,20.8,1.3,0,13
GMU10A_U_39,GMU10A,1,1308,1.875,0,0,0,0
GMU10A_U_4,GMU10A,1,1081,2.625,0,7.1,0,7.1
GMU10A_U_40,GMU10A,0.243,796,2.75,0,0,0,0
GMU10A_U_41,GMU10A,1,1093,3.75,7.8,15.6,1.3,1.3
GMU10A_U_43,GMU10A,1,1247,2.625,0,3.9,0,24.7
GMU10A_U_44,GMU10A,0.189,977,0,0,0,0,90.9
GMU10A_U_45,GMU10A,0.919,906,0.5,0,0,0,0
GMU10A_U_46,GMU10A,0.189,970,0.25,0,0,0,23.4
GMU10A_U_47,GMU10A,1,1188,2.625,0,1.3,0,7.8
GMU10A_U_48,GMU10A,0.054,844,3.875,0,0,0,0
GMU10A_U_49,GMU10A,0.351,1708,4.25,11.3,0,0,58.2
GMU10A_U_5,GMU10A,1,1232,2.25,0,0,0,8.2
GMU10A_U_50,GMU10A,1,803,7.375,0,0,0,0
GMU10A_U_51,GMU10A,1,1468,2.5,0,0,5.2,49.4
GMU10A_U_52,GMU10A,1,1048,2,0,0,0,0
GMU10A_U_53,GMU10A,1,1011,2.125,4,0,0,0
GMU10A_U_54,GMU10A,1,1578,3.25,18.6,0,0,35.7
GMU10A_U_55,GMU10A,1,1234,3.875,1.3,0,0,2.6
GMU10A_U_56,GMU10A,0.973,978,0.375,1.3,0,0,93.5
GMU10A_U_57,GMU10A,0.946,633,2.625,0,0,0,4.5
GMU10A_U_59,GMU10A,0.946,1798,0.75,1.3,0,3.9,16.9
GMU10A_U_6,GMU10A,0.541,1006,8.5,1.3,0,1.3,0
GMU10A_U_60,GMU10A,0.324,815,0.5,0,0,0,5.2
GMU10A_U_61,GMU10A,0.568,862,2.5,11.7,0,0,5.2
GMU10A_U_62,GMU10A,0.27,951,0.125,14.3,0,0,29.9
GMU10A_U_63,GMU10A,1,1245,1.875,3.6,0,0,98.2
GMU10A_U_64,GMU10A,0.838,964,1.25,2.6,7.8,0,15.6
GMU10A_U_65,GMU10A,1,1427,2.375,10.5,0,0,14.7
GMU10A_U_66,GMU10A,1,874,3,0,0,0,0
GMU10A_U_67,GMU10A,1,1280,1.875,0,0,0,0
GMU10A_U_68,GMU10A,0.892,999,0.875,7.8,0,0,31.2
GMU10A_U_69,GMU10A,0.784,1186,2.625,2.6,0,1.3,54.5
GMU10A_U_7,GMU10A,1,1146,1.75,9.2,18.5,0,27.7
GMU10A_U_71,GMU10A,1,1036,3,0,0,0,0
GMU10A_U_72,GMU10A,0.405,1001,2.375,13,0,0,23.4
GMU10A_U_73,GMU10A,0.892,1560,1.375,11.2,0,0,17.6
GMU10A_U_74,GMU10A,1,889,5.25,4,0,0,5.4
GMU10A_U_75,GMU10A,1,1500,1.875,0,0,0,250
GMU10A_U_76,GMU10A,0,802,0.5,117.1,0,0,65.7
GMU10A_U_77,GMU10A,0.865,498,3.25,0,0,0,0
GMU10A_U_78,GMU10A,0.216,1013,0.375,7.8,0,0,49.4
GMU10A_U_79,GMU10A,1,986,0.375,1.3,1.3,0,46.8
GMU10A_U_8,GMU10A,1,1010,0.75,0,0,0,0
GMU10A_U_80,GMU10A,1,1087,2.5,1.3,2.6,0,1.3
GMU10A_U_82,GMU10A,0.946,1567,4.125,10.5,0,1.3,3.9
GMU10A_U_83,GMU10A,0.595,987,0.375,0,0,0,0
GMU10A_U_84,GMU10A,0.865,993,2.625,0,0,0,0
GMU10A_U_85,GMU10A,1,1357,2.375,0,0,0,1.3
GMU10A_U_86,GMU10A,1,1268,1.125,24.7,7.8,1.3,84.4
GMU10A_U_87,GMU10A,1,1002,3.375,0,0,0,0
GMU10A_U_88,GMU10A,0.973,891,1.875,0,0,0,0
GMU10A_U_89,GMU10A,1,1050,1.125,1.3,0,0,62.3
GMU10A_U_9,GMU10A,0.757,1008,2.875,13.2,0,0,9.3
GMU10A_U_91,GMU10A,0.703,1209,1.875,11.7,0,1.3,15.6
GMU10A_U_92,GMU10A,0,967,0.125,1.3,0,0,46.8
GMU10A_U_93,GMU10A,1,1126,3.5,0,1.3,0,3.9
GMU10A_U_94,GMU10A,0.514,920,0,6.5,0,0,101.3
GMU10A_U_95,GMU10A,1,1070,0.75,1.3,0,1.3,42.9
GMU10A_U_96,GMU10A,1,1128,1.375,0,6.2,0,43.8
GMU10A_U_97,GMU10A,0.973,1219,4.125,0,0,0,1.3
GMU10A_U_98,GMU10A,1,778,2.625,3,0,1.5,3
GMU10A_U_99,GMU10A,1,1449,3.375,1.3,0,0,29.9
GMU6_P_1,GMU6,1,1101,2.125,13,0,0,31.2
GMU6_P_10,GMU6,0.73,1000,4.25,29.1,10.3,1.7,12
GMU6_P_100,GMU6,1,1252,2.75,18.2,0,5.2,18.2
GMU6_P_101,GMU6,1,1468,3.375,27.6,0,1.6,0
GMU6_P_102,GMU6,1,1539,1,17.9,5.4,5.4,1.8
GMU6_P_103,GMU6,1,1532,3.125,10.4,0,9.1,11.7
GMU6_P_104,GMU6,0.784,1157,0.625,15.6,1.3,1.3,63.6
GMU6_P_105,GMU6,1,1353,3.625,4.9,0,8.2,3.3
GMU6_P_107,GMU6,0,891,0.75,7.8,0,0,98.7
GMU6_P_108,GMU6,1,1383,1.5,6.2,8.2,0,8.2
GMU6_P_109,GMU6,1,1011,2,23.3,33,9.7,13.6
GMU6_P_11,GMU6,0,666,0,0,0,0,0
GMU6_P_12,GMU6,0,1054,1.125,3.9,0,0,101.3
GMU6_P_13,GMU6,1,1299,6.625,11.6,0,8.3,14.9
GMU6_P_14,GMU6,0.514,1604,2,32.5,2.6,36.4,15.6
GMU6_P_16,GMU6,1,1507,2.125,24,0,6,22
GMU6_P_17,GMU6,0.514,903,1.625,23.4,0,1.3,23.4
GMU6_P_18,GMU6,1,1097,1.875,13,0,1.3,26
GMU6_P_19,GMU6,1,1406,2.875,27.3,0,2.6,18.2
GMU6_P_2,GMU6,0.973,925,0.875,28.6,0,0,23.4
GMU6_P_20,GMU6,0.757,1043,2.25,77.9,0,5.2,131.2
GMU6_P_21,GMU6,0.946,1216,3.875,9.1,0,0,6.5
GMU6_P_22,GMU6,1,1012,0.5,36.4,1.3,5.2,9.1
GMU6_P_23,GMU6,0.919,1382,2,37.9,11.8,2.6,10.5
GMU6_P_24,GMU6,0.514,910,0.75,10.4,0,0,57.1
GMU6_P_25,GMU6,0.811,1640,3,1.6,0,3.1,66.1
GMU6_P_26,GMU6,1,1636,1.75,6.5,0,0,15.6
GMU6_P_27,GMU6,0.973,1116,2,39,5.2,0,16.9
GMU6_P_28,GMU6,1,1490,2.875,44.4,0,0,100
GMU6_P_29,GMU6,1,1108,1.25,14.3,0,7.8,1.3
GMU6_P_3,GMU6,1,930,6,8.4,6.7,0,1.7
GMU6_P_30,GMU6,0.459,1454,4.5,7.8,0,3.9,5.2
GMU6_P_31,GMU6,1,913,0.25,18.2,3.9,0,22.1
GMU6_P_32,GMU6,1,1694,2.25,36.2,0,20.5,48.8
GMU6_P_33,GMU6,1,1085,2.125,7.8,5.2,0,0
GMU6_P_34,GMU6,0,942,0,49.4,0,1.3,63.6
GMU6_P_35,GMU6,0.649,938,1.875,0,0,0,23.5
GMU6_P_36,GMU6,0.838,1091,2,15.6,31.2,1.3,2.6
GMU6_P_37,GMU6,1,1827,2.375,15.2,0,6.9,1.4
GMU6_P_38,GMU6,0.811,1550,2.25,6.6,0,16.5,13.2
GMU6_P_4,GMU6,0.703,1106,1.5,66.2,0,2.6,100
GMU6_P_40,GMU6,1,954,1.25,20.8,1.3,1.3,40.3
GMU6_P_41,GMU6,0.486,1346,0,7.8,0,10.4,29.9
GMU6_P_42,GMU6,0.784,1007,3.625,36.4,5.2,1.3,11.7
GMU6_P_43,GMU6,0.432,963,1.625,33.8,0,0,31.2
GMU6_P_44,GMU6,1,1133,2,9.1,0,2.6,23.4
GMU6_P_45,GMU6,1,1205,0.875,67.5,0,6.5,75.3
GMU6_P_46,GMU6,0.297,949,2.375,18.2,0,6.5,27.3
GMU6_P_48,GMU6,1,1709,1,0,0,10.1,4
GMU6_P_49,GMU6,0.676,915,2.125,11.5,0,0,17.3
GMU6_P_5,GMU6,1,1351,1.75,3.9,15.6,1.3,1.3
GMU6_P_50,GMU6,1,1198,3,49.4,0,1.3,9.1
GMU6_P_51,GMU6,0.919,1173,2.875,14.3,1.3,2.6,55.8
GMU6_P_53,GMU6,0.838,1492,1.75,23.4,13,5.2,15.6
GMU6_P_54,GMU6,0.432,1429,1.25,18.3,45,3.3,1.7
GMU6_P_56,GMU6,1,1151,2,39,0,0,9.1
GMU6_P_57,GMU6,1,1354,3.125,13.6,3,4.5,34.8
GMU6_P_58,GMU6,1,1237,3.75,33.8,16.9,0,11.7
GMU6_P_59,GMU6,0.811,901,1.25,1.3,0,0,39
GMU6_P_6,GMU6,0,921,1.75,42.9,1.3,0,33.8
GMU6_P_60,GMU6,1,1624,2,6.6,0,6.6,13.2
GMU6_P_61,GMU6,0.757,1194,2.25,0,0,3.9,23.4
GMU6_P_62,GMU6,1,718,2.25,15.6,0,0,10.4
GMU6_P_63,GMU6,1,1054,1.875,0,0,0,0
GMU6_P_64,GMU6,0.622,1941,1.625,2.9,0,7.3,4.4
GMU6_P_65,GMU6,1,1131,2.875,5.2,0,0,3.9
GMU6_P_66,GMU6,0.243,902,2,27.3,0,1.3,24.7
GMU6_P_67,GMU6,0.973,790,2.5,2.6,0,0,31.2
GMU6_P_68,GMU6,0.811,911,1,10.4,0,16.9,174
GMU6_P_69,GMU6,0.595,1710,1,5.8,0,2.9,10.1
GMU6_P_7,GMU6,0.486,1017,1.125,13.1,0,0,7.5
GMU6_P_70,GMU6,0.703,1290,4.25,15.8,0,2,4
GMU6_P_71,GMU6,0,782,3.25,0,0,0,13
GMU6_P_72,GMU6,1,1431,1,82.5,0,28.9,6.2
GMU6_P_73,GMU6,0.838,1244,4.125,6.5,1.3,1.3,0
GMU6_P_74,GMU6,1,1153,0.875,24.7,0,5.2,1.3
GMU6_P_75,GMU6,0.649,1276,1.75,26.1,0,2.6,0
GMU6_P_76,GMU6,0.784,889,2,1.3,0,3.9,19.5
GMU6_P_77,GMU6,0.514,1444,0.75,5.2,0,3.9,110.4
GMU6_P_78,GMU6,0.73,938,1.625,50.6,0,3.9,19.5
GMU6_P_79,GMU6,1,1357,0.75,6.5,18.2,14.3,14.3
GMU6_P_8,GMU6,0.216,895,1.125,8.3,0,0,44.1
GMU6_P_80,GMU6,0.946,1676,1.375,9.1,0,6.5,50.6
GMU6_P_81,GMU6,0.784,1293,1.375,0,19.5,6.5,9.1
GMU6_P_82,GMU6,0.27,892,0.625,1.3,0,0,127.3
GMU6_P_83,GMU6,0.946,1180,0.5,63.6,0,1.3,42.9
GMU6_P_84,GMU6,0.757,976,2.125,0,0,0,0
GMU6_P_85,GMU6,1,1551,1,6.5,0,0,9.8
GMU6_P_86,GMU6,0.811,1452,2.5,20.8,2.6,2.6,11.7
GMU6_P_87,GMU6,1,1483,2.625,50.6,9.1,0,1.3
GMU6_P_89,GMU6,0.676,1302,2.375,14.3,0,3.9,16.9
GMU6_P_9,GMU6,1,1615,1.375,3.3,43,3.3,5
GMU6_P_90,GMU6,1,1256,3,12.5,12.5,25,0
GMU6_P_92,GMU6,0.757,963,3.625,7.8,31.2,0,142.9
GMU6_P_93,GMU6,0.351,1387,2.875,29.9,0,2.6,29.9
GMU6_P_94,GMU6,0.811,928,1.25,28.6,0,0,35.1
GMU6_P_96,GMU6,0.892,1559,2.625,21.9,73,10.2,7.3
GMU6_P_97,GMU6,1,815,1.25,0,0,1.9,0
GMU6_P_99,GMU6,0.622,1012,1.875,0,0,0,0
GMU6_U_1,GMU6,1,1110,1.75,11.7,1.3,0,18.2
GMU6_U_10,GMU6,0.838,876,4.625,5.1,6.8,0,3.4
GMU6_U_100,GMU6,1,1224,2.75,0,10.4,0,0
GMU6_U_101,GMU6,1,1435,2.875,16.3,0,0,0
GMU6_U_102,GMU6,1,1487,3.625,3.6,0,1.8,3.6
GMU6_U_103,GMU6,1,1493,4.125,7.8,0,1.3,20.8
GMU6_U_104,GMU6,1,1192,3.125,39,1.3,0,18.2
GMU6_U_105,GMU6,1,1285,4.625,1.6,0,4.9,8.2
GMU6_U_107,GMU6,0,859,2,9.1,0,2.6,83.1
GMU6_U_108,GMU6,1,1367,1.5,11.7,0,5.2,36.4
GMU6_U_109,GMU6,0,1012,2.125,31.2,0,28.6,20.8
GMU6_U_111,GMU6,0.973,1222,5.25,4.8,0,2.4,0
GMU6_U_112,GMU6,0,650,0,66.7,0,0,0
GMU6_U_113,GMU6,0.432,1260,3.875,39,1.3,0,10.4
GMU6_U_114,GMU6,0,942,0.875,0,0,0,0
GMU6_U_115,GMU6,0.243,819,4.75,0,0,0,0
GMU6_U_116,GMU6,0.838,1302,0.25,1.3,0,6.5,11.7
GMU6_U_117,GMU6,0.405,1348,2.25,53.3,13.3,0,0
GMU6_U_118,GMU6,0.784,933,1,5.2,0,2.6,10.4
GMU6_U_119,GMU6,0.946,1035,3,50,0,0,10
GMU6_U_12,GMU6,0,1056,2.5,0,0,0,0
GMU6_U_120,GMU6,0.865,887,1,2.6,0,0,62.3
GMU6_U_121,GMU6,1,1136,1.375,0,240,0,60
GMU6_U_122,GMU6,0.946,1194,2.125,3.4,0,0,25.6
GMU6_U_123,GMU6,1,780,2.75,0,0,0,0
GMU6_U_124,GMU6,0.865,1429,2.875,0,0,0,0
GMU6_U_125,GMU6,0.649,1397,3.375,11.5,1.9,0,30.8
GMU6_U_126,GMU6,0.73,1593,2.25,43.7,0,1.7,11.8
GMU6_U_128,GMU6,1,1657,2.75,59.8,0,2.1,41.2
GMU6_U_13,GMU6,1,1572,1.875,5,0,0,24.8
GMU6_U_130,GMU6,0.811,886,0.875,86.5,0,0,208.5
GMU6_U_131,GMU6,1,1135,1.5,0,0,0,11.7
GMU6_U_132,GMU6,0.108,1034,1.875,0,0,0,0
